#From;To;Type;Through;Data;Comment
#;;;;;
# American Straits;;;;;
#;;;;;
14;78;sea;3011;0;Vancouver Crossing
62;75;sea;2946;0;Straits of Belle Isle
68;70;sea;2944;0;Cabot Strait
2237;2269;sea;2975;0;Strait of Trinidad
2334;2335;sea;2992;0;Strait of Magellan
2204;2206;sea;3001;0;Panama strait
2224;2225;sea;2976;0;Caribi1
2225;2227;sea;2976;0;Caribi2
2225;2230;sea;2976;0;Caribi3
2230;2232;sea;2976;0;Caribi4
2232;2228;sea;2976;0;Caribi5
2231;2228;sea;2976;0;Caribi6
2231;2409;sea;2975;0;Caribi7
2233;2409;sea;2975;0;Caribi7
2237;2238;sea;2975;0;Caribi8
2237;2233;sea;2975;0;Caribi9
2229;2231;sea;2975;0;Caribi10
2237;2238;sea;2975;0;Caribi11
2227;2236;sea;2976;0;Caribi12
2226;2236;sea;2976;0;Caribi13
2226;2223;sea;2976;0;Caribi14
2226;2222;sea;2976;0;Caribi14
2214;2222;sea;2974;0;Caribi15
2214;2222;sea;2974;0;Caribi16
2212;2215;sea;2969;0;Caribi17
2212;2217;sea;2969;0;Caribi18
2212;2218;sea;2971;0;Caribi19
2212;2219;sea;2978;0;Caribi20
2219;2220;sea;2977;0;Caribi21
2209;2185;sea;2966;0;Caribi22
2219;200;sea;2956;0;Caribi23
2235;2272;sea;2972;0;Caribi24
2235;2234;sea;2972;0;Caribi25
2592;45;sea;2938;0;Arctic
2592;44;sea;2942;0;Arctic1
77;74;sea;2947;0;Arctic2
;;;;;
#;;;;;
# African Straits;;;;;
#;;;;;
2036;2048;sea;2901;0;Zanzibar Strait
2123;2124;sea;2902;0;Comoros-Mayotte
1772;1756;sea;2781;0;Suez strait
1696;2136;sea;2924;0;Marocco
2121;2124;sea;2902;0;Madagaskar1
2123;2124;sea;2902;0;Madagaskar2
2123;2063;sea;2902;0;Madagaskar3
1957;1955;sea;2918;0;Kameryn
1954;1955;sea;2918;0;Kameryn1
;;;;;
#;;;;;
# European Straits  ;;;;;
#;;;;;
254;271;sea;2737;0;Irish Strait
263;304;sea;2737;0;Man Island Strait1
276;304;sea;2737;0;Man Island Strait2
324;348;sea;2706;0;Aland Strait #Uppsala to Aland #these were in V1
334;372;sea;2779;0;"Öresund			#2711"
335;374;sea;2710;0;Bornholmsfärjan
331;332;sea;2710;0;Bornholmsfärjan2
348;345;sea;2706;0;Aland Strait #Aland to Turku 
353;349;sea;2709;0;Öselsund
353;358;sea;2709;0;Strait of Riga
372;373;sea;2779;0;"Fyn-Sjaelland	#2711"
371;373;sea;2779;0;"denmark1		#2711"
2557;373;sea;2779;0;"denmark2		#2711"
366;373;sea;2779;0;"denmark3	#2711"
366;373;sea;2779;0;"denmark3	#2711"
310;367;sea;2712;0;Denmark-Norway Strait
375;385;sea;2722;0;Bay of Holland
418;419;sea;2725;0;Channel Islands Strait
473;766;sea;2751;0;Sassari Strait
826;853;sea;2764;0;Corfu Strait
838;845;sea;2772;0;Cyclades Strait
843;869;sea;2772;0;Izmir Strait
859;865;sea;2773;0;Dardanelles Strait
860;861;sea;2773;0;Golden Horn
759;763;sea;2779;0;"Strait of Messina		#2760"
759;763;sea;2779;0;"Strait of Messina		#2757"
837;827;sea;2765;0;Ionian Islands Strait
966;1049;sea;2776;0;Strait of Azov
1687;517;sea;2746;0;Strait of Gibraltar
1687;512;sea;2746;0;Strait of Gibraltar1
1686;512;sea;2746;0;Strait of Gibraltar2
505;502;sea;2748;0;Balearean Strait
473;745;sea;2751;0;Sardinian Strait
764;854;sea;2759;0;Malta Strait
847;839;sea;2767;0;creta Strait
848;846;sea;2771;0;creta Strait3
845;843;sea;2772;0;creta Strait4
822;844;sea;2772;0;creta Strait5
844;869;sea;2772;0;creta Strait6
895;857;sea;2770;0;cyprus Strait
764;854;sea;2759;0;Malta
758;852;sea;2763;0;Itali-Albania
301;400;sea;2724;0;Calais-Canterbury
844;865;sea;2772;0;Turkish iseles
983;981;sea;2716;0;Rus Artic
265;274;sea;2738;0;ENG-Irland
